soc_id	var_id	code	title	category	pref_name_for_society	Lat	Long	region
SCCS111	SCCS69	2.0	Marital Residence	Settlement, Community	Palauans	7.5	134.5	Insular Pacific
SCCS111	SCCS826	49.0	Average Female Contribution to Subsistence	Gender, Data Quality	Palauans	7.5	134.5	Insular Pacific
SCCS112	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Ifugao	16.83	121.17	Insular Pacific
SCCS112	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Ifugao	16.83	121.17	Insular Pacific
SCCS112	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Ifugao	16.83	121.17	Insular Pacific
SCCS112	SCCS69	4.0	Marital Residence	Settlement, Community	Ifugao	16.83	121.17	Insular Pacific
SCCS112	SCCS826	61.0	Average Female Contribution to Subsistence	Gender, Data Quality	Ifugao	16.83	121.17	Insular Pacific
SCCS113	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Atayal	24.33	120.75	Insular Pacific
SCCS113	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Atayal	24.33	120.75	Insular Pacific
SCCS113	SCCS64	4.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Atayal	24.33	120.75	Insular Pacific
SCCS113	SCCS69	3.0	Marital Residence	Settlement, Community	Atayal	24.33	120.75	Insular Pacific
SCCS113	SCCS826	44.0	Average Female Contribution to Subsistence	Gender, Data Quality	Atayal	24.33	120.75	Insular Pacific
SCCS114	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Chekiang	31.0	120.08	East Eurasia
SCCS114	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Chekiang	31.0	120.08	East Eurasia
SCCS114	SCCS64	7.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Chekiang	31.0	120.08	East Eurasia
SCCS114	SCCS69	3.0	Marital Residence	Settlement, Community	Chekiang	31.0	120.08	East Eurasia
SCCS114	SCCS826	7.0	Average Female Contribution to Subsistence	Gender, Data Quality	Chekiang	31.0	120.08	East Eurasia
SCCS115	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Manchu	50.0	125.5	East Eurasia
SCCS115	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Manchu	50.0	125.5	East Eurasia
SCCS115	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Manchu	50.0	125.5	East Eurasia
SCCS115	SCCS69	3.0	Marital Residence	Settlement, Community	Manchu	50.0	125.5	East Eurasia
SCCS115	SCCS826	34.0	Average Female Contribution to Subsistence	Gender, Data Quality	Manchu	50.0	125.5	East Eurasia
SCCS116	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Koreans	37.6	126.42	East Eurasia
SCCS116	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Koreans	37.6	126.42	East Eurasia
SCCS116	SCCS64	7.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Koreans	37.6	126.42	East Eurasia
SCCS116	SCCS69	3.0	Marital Residence	Settlement, Community	Koreans	37.6	126.42	East Eurasia
SCCS116	SCCS826	32.0	Average Female Contribution to Subsistence	Gender, Data Quality	Koreans	37.6	126.42	East Eurasia
SCCS117	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Japanese	34.67	133.67	East Eurasia
SCCS117	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Japanese	34.67	133.67	East Eurasia
SCCS117	SCCS64	7.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Japanese	34.67	133.67	East Eurasia
SCCS117	SCCS69	3.0	Marital Residence	Settlement, Community	Japanese	34.67	133.67	East Eurasia
SCCS117	SCCS826	38.0	Average Female Contribution to Subsistence	Gender, Data Quality	Japanese	34.67	133.67	East Eurasia
SCCS118	SCCS3	3.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Ainu	42.83	143.0	East Eurasia
SCCS118	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Ainu	42.83	143.0	East Eurasia
SCCS118	SCCS64	2.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Ainu	42.83	143.0	East Eurasia
SCCS118	SCCS69	3.0	Marital Residence	Settlement, Community	Ainu	42.83	143.0	East Eurasia
SCCS118	SCCS826	38.0	Average Female Contribution to Subsistence	Gender, Data Quality	Ainu	42.83	143.0	East Eurasia
SCCS119	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Nivkh	53.0	142.0	East Eurasia
SCCS119	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Nivkh	53.0	142.0	East Eurasia
SCCS119	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Nivkh	53.0	142.0	East Eurasia
SCCS119	SCCS69	3.0	Marital Residence	Settlement, Community	Nivkh	53.0	142.0	East Eurasia
SCCS119	SCCS826	27.0	Average Female Contribution to Subsistence	Gender, Data Quality	Nivkh	53.0	142.0	East Eurasia
SCCS12	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Ganda	0.33	32.5	Africa
SCCS12	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Ganda	0.33	32.5	Africa
SCCS12	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Ganda	0.33	32.5	Africa
SCCS12	SCCS69	5.0	Marital Residence	Settlement, Community	Ganda	0.33	32.5	Africa
SCCS12	SCCS826	56.0	Average Female Contribution to Subsistence	Gender, Data Quality	Ganda	0.33	32.5	Africa
SCCS120	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Yukaghir	64.75	153.5	East Eurasia
SCCS120	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Yukaghir	64.75	153.5	East Eurasia
SCCS120	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Yukaghir	64.75	153.5	East Eurasia
SCCS120	SCCS69	4.0	Marital Residence	Settlement, Community	Yukaghir	64.75	153.5	East Eurasia
SCCS120	SCCS826	0.0	Average Female Contribution to Subsistence	Gender, Data Quality	Yukaghir	64.75	153.5	East Eurasia
