soc_id	pref_name_for_society	Lat	Long	region	Agriculture - Contribution to Local Food Supply	Average Female Contribution to Subsistence	Community-wide Exclusively Female Work Groups	Marital Residence	Population Density (from Murdock and Wilson Data)
SCCS153	Aztec	19.0	-99.17	North America	5.0	35.0	1.0	3.0	7.0
SCCS154	Sierra Popoluca	18.25	-94.83	North America	6.0	33.0		3.0	5.0
SCCS155	K'iche'	15.0	-91.0	South America	6.0	3.0	1.0	3.0	5.0
SCCS156	Miskito	15.16	-84.29	South America	5.0	43.0		1.0	4.0
SCCS157	Bribri	9.0	-83.25	South America	5.0	4.0	1.0	1.0	
SCCS158	Guna	9.25	-78.5	South America	6.0	13.0		1.0	5.0
SCCS159	Wayuu	11.92	-71.75	South America	3.0	31.0	2.0	1.0	2.0
SCCS16	Tiv	7.25	9.0	Africa	6.0	54.0		3.0	5.0
SCCS160	Haitians	18.83	-72.17	South America	6.0	14.0		3.0	6.0
SCCS161	Callinago	15.41	-61.27	South America	5.0	35.0		1.0	4.0
SCCS162	Warao	9.08	-62.0	South America	3.0	16.0		1.0	2.0
SCCS163	Yanomami	2.42	-65.0	South America	6.0	20.0	1.0	3.0	2.0
SCCS164	Barama River Carib	7.42	-60.17	South America	4.0	16.0		5.0	1.0
SCCS165	Saramaccan 	3.5	-55.75	South America	5.0	37.0	2.0	2.0	4.0
SCCS166	Munduruku	-6.5	-56.5	South America	5.0	27.0		1.0	1.0
SCCS167	Cubeo	1.25	-70.5	South America	5.0	34.0	1.0	3.0	2.0
SCCS168	Chachi	1.0	-79.0	South America	5.0	31.0		4.0	3.0
SCCS169	Shuar	-3.0	-78.0	South America	5.0	50.0		3.0	2.0
SCCS17	Igbo	5.5	7.33	Africa	6.0	48.0	1.0	3.0	7.0
SCCS170	Amahuaca	-10.33	-72.25	South America	6.0	32.0		3.0	1.0
SCCS171	Inca	-13.5	-72.0	South America	6.0	36.0	1.0	3.0	4.0
SCCS172	Aymara	-16.0	-65.75	South America	5.0	38.0		3.0	6.0
SCCS173	Sirionó	-14.5	-63.5	South America	3.0	21.0	1.0	1.0	1.0
SCCS174	Nambikwara	-13.0	-58.75	South America	4.0	25.0		3.0	2.0
SCCS175	Trumai	-11.83	-53.67	South America	5.0	33.0	1.0	3.0	1.0
SCCS176	Canela	-6.5	-46.0	South America	5.0	34.0		1.0	3.0
SCCS177	Tupinambá	-22.79	-44.5	South America	5.0	30.0	1.0	1.0	2.0
SCCS178	Aimoré	-19.0	-42.5	South America	1.0	4.0			1.0
SCCS179	Shavante	-13.5	-51.5	South America	3.0	32.0	2.0	1.0	1.0
SCCS18	Fon	7.2	1.91	Africa	5.0	38.0		3.0	5.0
SCCS180	Aweikoma	-28.0	-50.0	South America	1.0	17.0		4.0	1.0
SCCS181	Cayua	-23.5	-55.0	South America	4.0	29.0	2.0	3.0	2.0
SCCS182	Lengua	-23.0	-58.5	South America	4.0	9.0		1.0	1.0
SCCS183	Abipón	-28.0	-59.5	South America	1.0	25.0	2.0	5.0	2.0
SCCS184	Mapuche	-38.5	-72.58	South America	6.0	21.0		3.0	5.0
SCCS185	Tehuelche	-40.5	-68.0	South America	1.0	4.0	2.0	3.0	1.0
SCCS186	Yahgan	-55.5	-69.5	South America	1.0	65.0		3.0	2.0
SCCS19	Ashanti	7.0	-1.5	Africa	6.0	59.0		2.0	5.0
SCCS2	!Kung	-19.83	20.58	Africa	1.0	19.0		4.0	1.0
SCCS20	Mende	7.83	-12.0	Africa	6.0	39.0		3.0	5.0
SCCS21	Wolof	13.75	-15.33	Circum-Mediterranean	6.0	23.0	2.0	3.0	6.0
SCCS22	Bambara	12.5	-7.0	Africa	6.0	39.0		3.0	4.0
SCCS23	Tallensi	10.66	-0.57	Africa	6.0	20.0	1.0	3.0	6.0
SCCS24	Songhai	16.58	-1.67	Circum-Mediterranean	5.0	19.0		3.0	4.0
SCCS25	Wodaabe Fulani	15.0	7.5	Circum-Mediterranean	3.0	77.0	1.0	3.0	3.0
SCCS26	Zazzagawa Hausa	10.5	7.5	Circum-Mediterranean	6.0	14.0		3.0	5.0
SCCS27	Masa	10.5	15.5	Africa	5.0	27.0	2.0	3.0	5.0
SCCS28	Azande	5.08	28.25	Africa	5.0	43.0		3.0	3.0
SCCS29	Fur	13.5	25.5	Circum-Mediterranean	5.0	41.0	1.0	1.0	4.0
SCCS3	Tsonga	-25.83	32.33	Africa	6.0	71.0	2.0	3.0	6.0
SCCS30	Otoro	11.33	30.67	Africa	6.0	35.0		3.0	4.0
SCCS31	Shilluk	9.75	31.5	Africa	6.0	17.0		3.0	5.0
SCCS32	Mao	9.27	34.67	Africa	6.0	28.0		3.0	4.0
SCCS33	Kafa	7.27	36.5	Circum-Mediterranean	6.0	23.0		3.0	5.0
SCCS34	Maasi	-3.5	36.75	Africa	1.0	58.0		3.0	3.0
SCCS35	Konso	5.25	37.5	Circum-Mediterranean	6.0	37.0	1.0	3.0	6.0
SCCS36	Somali (Dolbahanta)	9.0	47.25	Circum-Mediterranean	3.0	50.0		3.0	4.0
SCCS37	Amhara	12.5	37.75	Circum-Mediterranean	5.0	13.0		3.0	5.0
SCCS38	Blin	15.75	38.75	Circum-Mediterranean	4.0	0.0		3.0	3.0
SCCS39	Barabra	23.0	39.11	Circum-Mediterranean	6.0	43.0	2.0	3.0	
SCCS4	Lozi	-16.0	23.5	Africa	5.0	30.0		3.0	4.0
SCCS40	Teda	20.5	17.5	Circum-Mediterranean	3.0	34.0		3.0	1.0
SCCS41	Tuareg Ahaggar	23.0	6.5	Circum-Mediterranean	4.0	46.0	1.0	2.0	1.0
SCCS42	Riffians	34.92	-3.25	Circum-Mediterranean	6.0	27.0		3.0	6.0
SCCS43	Egyptians	24.75	33.0	Circum-Mediterranean	6.0	10.0	1.0	3.0	7.0
SCCS44	Hebrews	31.18	34.92	Circum-Mediterranean	5.0	2.0		3.0	7.0
